date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
2023-03-01,19:32:23.387,7171,804.25,814.0,794.75,806.0,28031,28031,22557998.75
2023-03-02,01:18:21.928,16133,804.25,814.0,794.75,807.5,28003,56034,45140319.25
2023-03-02,02:50:32.992,25976,804.25,814.0,794.75,808.75,28000,84034,67772221.5
2023-03-02,04:57:09.236,35968,804.25,814.0,794.75,810.0,28000,112034,90446815.75
2023-03-02,07:04:32.076,43461,804.25,814.0,794.75,811.5,28013,140047,113167461.0
2023-03-02,09:28:41.320,50617,804.25,814.0,794.75,810.75,28006,168053,135872930.75
2023-03-02,18:56:16.142,58588,804.25,814.0,794.75,809.75,28000,196053,158588467.75
2023-03-03,01:03:08.902,67636,804.25,814.0,794.75,812.25,28002,224055,181304820.75
2023-03-03,02:37:29.758,77301,804.25,814.0,794.75,812.0,28014,252069,204042737.75
2023-03-03,03:54:05.880,87402,804.25,814.0,794.75,808.25,28120,280189,226847828.0
2023-03-03,04:02:15.814,95347,804.25,814.0,794.75,807.5,28003,308192,249452727.75
2023-03-03,04:19:21.859,104814,804.25,814.0,794.75,808.0,28000,336192,272083626.75
2023-03-03,05:47:10.797,114924,804.25,814.0,794.75,810.0,28000,364192,294733796.5
2023-03-03,07:00:04.684,125001,804.25,814.0,794.75,808.75,28000,392192,317376974.5
2023-03-03,07:55:13.595,133880,804.25,814.0,794.75,810.75,28024,420216,340053400.25
2023-03-03,08:30:00.115,142736,804.25,814.0,794.75,809.75,28002,448218,362740962.5
2023-03-03,08:31:19.100,148668,804.25,814.0,794.75,812.75,28001,476219,385459938.0
2023-03-03,08:32:34.173,153995,804.25,814.0,794.75,812.5,28001,504220,408207254.0
2023-03-03,08:34:32.909,159798,804.25,814.0,794.75,812.0,28049,532269,431004074.75
2023-03-03,08:36:51.507,165695,804.25,814.0,794.75,812.75,28001,560270,453771103.75
2023-03-03,08:40:35.969,172319,804.25,814.0,794.75,813.25,28000,588270,476532464.75
2023-03-03,08:45:01.371,179953,804.25,814.0,794.75,811.5,28017,616287,499283618.75
2023-03-03,08:49:59.492,187574,804.25,814.0,794.75,811.25,28028,644315,522028838.25
2023-03-03,08:55:55.810,195339,804.25,814.0,794.75,811.5,28000,672315,544737445.5
2023-03-03,09:01:33.727,203110,804.25,814.0,794.75,809.75,28001,700316,567434746.5
2023-03-03,09:05:15.458,211280,804.25,814.0,794.75,810.75,28003,728319,590107148.5
2023-03-03,09:10:14.198,220100,804.25,814.0,794.75,811.0,28000,756319,612801411.75
2023-03-03,09:14:02.072,227730,804.25,814.0,794.75,811.5,28001,784320,635533477.0
2023-03-03,09:19:33.542,235432,804.25,814.0,794.75,809.5,28003,812323,658223655.0
2023-03-03,09:24:58.702,243508,804.25,814.0,794.75,808.5,28003,840326,680865781.75
2023-03-03,09:31:22.897,250789,804.25,814.0,794.75,809.25,28002,868328,703521376.5
2023-03-03,09:38:56.939,258092,804.25,814.0,794.75,810.25,28016,896344,726216617.25
2023-03-03,09:48:31.708,265834,804.25,814.0,794.75,811.0,28001,924345,748921707.5
2023-03-03,09:56:58.192,273457,804.25,814.0,794.75,809.0,28000,952345,771602556.75
2023-03-03,10:04:15.445,280278,804.25,814.0,794.75,809.5,28001,980346,794265127.25
2023-03-03,10:17:08.308,287694,804.25,814.0,794.75,809.0,28006,1008352,816944349.25
2023-03-03,10:20:12.489,294172,804.25,814.0,794.75,806.75,28000,1036352,839567266.25
2023-03-03,10:23:24.570,301160,804.25,814.0,794.75,805.5,28000,1064352,862145710.25
2023-03-03,10:25:26.127,307180,804.25,814.0,794.75,804.75,28006,1092358,884681454.0
2023-03-03,10:27:42.621,313825,804.25,814.0,794.75,803.25,28002,1120360,907199504.5
2023-03-03,10:30:21.755,319908,804.25,814.0,794.75,801.5,28005,1148365,929675717.75
2023-03-03,10:33:45.275,326893,804.25,814.0,794.75,803.0,28003,1176368,952152788.0
2023-03-03,10:38:06.946,334243,804.25,814.0,794.75,802.75,28002,1204370,974626802.0
2023-03-03,10:45:07.853,341336,804.25,814.0,794.75,802.0,28000,1232370,997109002.75
2023-03-03,10:49:03.062,348088,804.25,814.0,794.75,801.75,28001,1260371,1019544439.75
2023-03-03,10:57:30.363,355612,804.25,814.0,794.75,801.75,28000,1288371,1042008622.5
2023-03-03,11:05:17.068,362214,804.25,814.0,794.75,801.5,28013,1316384,1064470701.75
2023-03-03,11:14:39.016,369489,804.25,814.0,794.75,802.0,28046,1344430,1086983681.75
2023-03-03,11:23:50.896,377009,804.25,814.0,794.75,801.5,28101,1372531,1109497255.0
2023-03-03,11:32:09.543,383061,804.25,814.0,794.75,801.5,28037,1400568,1131974627.5
2023-03-03,11:42:30.406,389599,804.25,814.0,794.75,800.25,28000,1428568,1154396945.0
2023-03-03,11:47:42.735,396005,804.25,814.0,794.75,798.75,28002,1456570,1176780520.25
2023-03-03,11:55:38.936,402387,804.25,814.0,794.75,799.25,28000,1484570,1199142660.75
2023-03-03,12:03:55.304,409585,804.25,814.0,794.75,797.25,28034,1512604,1221502096.5
2023-03-03,12:10:27.493,416238,804.25,814.0,794.75,798.5,28004,1540608,1243821249.25
2023-03-03,12:19:24.054,422954,804.25,814.0,794.75,797.5,28009,1568617,1266189640.5
2023-03-03,12:27:35.654,430744,804.25,814.0,794.75,798.5,28002,1596619,1288514658.25
2023-03-03,12:44:19.071,438947,804.25,814.0,794.75,798.25,28000,1624619,1310877927.0
2023-03-03,12:51:45.075,446245,804.25,814.0,794.75,796.75,28021,1652640,1333205780.25
2023-03-03,13:02:06.207,454442,804.25,814.0,794.75,797.25,28006,1680646,1355523777.75
2023-03-03,13:12:08.687,462111,804.25,814.0,794.75,799.25,28000,1708646,1377867997.25
2023-03-03,13:22:38.878,469960,804.25,814.0,794.75,796.0,28016,1736662,1400232338.25
2023-03-03,13:29:31.293,477560,804.25,814.0,794.75,797.5,28032,1764694,1422558951.0
2023-03-03,13:36:01.118,485564,804.25,814.0,794.75,797.0,28004,1792698,1444902408.25
2023-03-03,13:45:43.351,493547,804.25,814.0,794.75,796.25,28000,1820698,1467217556.0
2023-03-03,13:52:54.589,501357,804.25,814.0,794.75,796.75,28003,1848701,1489514156.25
2023-03-03,13:59:58.317,508462,804.25,814.0,794.75,798.75,28001,1876702,1511857003.25
