date,time,cum_ticks,open,high,low,close,cum_dollar_value,cum_buy_volume,cum_volume
2023-09-02,00:00:03.874,56,1629.13,1629.36,1629.12,1629.35,100379.40973699998,61.61140000000002,61.61140000000002
2023-09-02,00:00:46.371,142,1629.35,1629.44,1629.18,1629.44,100624.07350899998,123.36860000000006,123.36860000000006
2023-09-02,00:00:46.371,169,1629.44,1629.6,1629.44,1629.6,111082.046171,191.53760000000008,191.53760000000008
2023-09-02,00:01:23.558,330,1629.62,1629.66,1629.0,1629.0,100292.83699699995,253.08949999999982,253.08949999999982
2023-09-02,00:02:30.517,487,1629.0,1629.01,1628.84,1628.84,100499.10056499994,314.78680000000026,314.78680000000026
2023-09-02,00:03:02.267,638,1628.84,1628.85,1628.52,1628.52,100620.48188699999,376.5675000000004,376.5675000000004
2023-09-02,00:03:43.565,710,1628.52,1628.58,1628.5,1628.52,101492.09499799996,438.8880000000009,438.8880000000009
2023-09-02,00:04:11.626,806,1628.52,1628.52,1628.51,1628.52,100044.74682499998,500.321000000001,500.321000000001
2023-09-02,00:05:22.018,968,1628.51,1628.52,1628.28,1628.28,100094.95869400003,561.788200000001,561.788200000001
2023-09-02,00:07:28.462,1214,1628.28,1628.77,1628.03,1628.77,100622.521517,623.5861000000009,623.5861000000009
2023-09-02,00:07:28.477,1261,1628.77,1629.13,1628.77,1629.13,100209.17768899995,685.105200000001,685.105200000001
2023-09-02,00:09:42.812,1437,1629.13,1629.4,1629.13,1629.39,100807.05382400002,746.9736000000007,746.9736000000007
2023-09-02,00:10:39.023,1543,1629.39,1629.39,1629.18,1629.21,100176.65617499995,808.4558000000003,808.4558000000003
2023-09-02,00:12:13.211,1707,1629.21,1629.21,1629.2,1629.21,100169.57267299996,869.9396000000003,869.9396000000003
2023-09-02,00:14:09.068,1903,1629.21,1630.04,1629.21,1630.03,100445.47226799998,931.5772000000009,931.5772000000009
2023-09-02,00:14:29.193,1950,1630.03,1630.27,1630.03,1630.27,102274.52506899997,994.3163000000013,994.3163000000013
2023-09-02,00:14:29.193,1982,1630.27,1630.39,1630.27,1630.39,103317.77937699997,1057.6890000000017,1057.6890000000017
