date,time,cum_ticks,open,high,low,close,volume,cum_buy_volume,cum_dollar_value
2023-03-03,09:23:21.344,241030,808.5,809.25,807.75,808.0,10018,831098,673406555.25
2023-03-03,09:25:07.468,243684,807.75,809.0,807.75,808.5,10000,841098,681489943.75
2023-03-03,09:27:29.339,246616,808.5,809.75,808.25,809.0,10000,851098,689581488.0
2023-03-03,09:29:41.372,248744,809.0,809.25,808.5,809.25,10001,861099,697670757.75
2023-03-03,09:32:00.726,251618,809.25,810.0,808.75,809.75,10018,871117,705779225.75
2023-03-03,09:34:23.058,254302,809.75,810.5,809.5,809.75,10000,881117,713879827.5
2023-03-03,09:37:15.678,256735,809.75,810.5,809.5,810.25,10000,891117,721980551.0
2023-03-03,09:41:20.189,259500,810.25,811.0,810.0,810.5,10002,901119,730087177.25
2023-03-03,09:45:47.405,262253,810.5,811.0,810.0,811.0,10102,911221,738274413.25
2023-03-03,09:47:53.290,265061,811.0,811.75,810.75,811.0,10002,921223,746389481.5
2023-03-03,09:50:20.620,267482,811.0,811.25,810.25,810.25,10001,931224,754499350.5
2023-03-03,09:53:04.037,270218,810.5,810.5,809.25,809.75,10000,941224,762598754.25
2023-03-03,09:56:55.572,273213,809.75,810.0,809.25,809.25,10027,951251,770717445.5
2023-03-03,09:59:27.456,275635,809.25,809.5,808.75,808.75,10001,961252,778808914.25
2023-03-03,10:01:25.251,278182,808.75,810.0,808.5,809.5,10002,971254,786902802.5
2023-03-03,10:04:30.263,280473,809.5,810.25,809.25,809.5,10001,981255,795000939.75
2023-03-03,10:10:00.328,282891,809.5,810.0,808.75,809.75,10008,991263,803101414.5
2023-03-03,10:14:52.726,285801,809.75,810.75,809.5,810.5,10012,1001275,811212764.5
2023-03-03,10:17:19.658,288279,810.5,810.75,808.25,808.5,10016,1011291,819320796.5
2023-03-03,10:19:06.305,290487,808.5,809.25,808.0,808.25,10001,1021292,827406845.0
2023-03-03,10:19:57.734,292933,808.25,808.5,807.25,807.25,10006,1031298,835489287.25
2023-03-03,10:20:32.462,295193,807.25,807.5,806.5,806.75,10000,1041298,843558010.5
2023-03-03,10:22:21.071,298253,806.75,807.25,806.25,806.25,10006,1051304,851630848.5
2023-03-03,10:23:03.342,300522,806.25,806.5,805.5,805.75,10000,1061304,859690247.75
2023-03-03,10:23:40.082,302669,805.75,806.0,804.25,804.5,10003,1071307,867743988.25
2023-03-03,10:24:19.727,304723,804.5,805.0,804.0,804.25,10005,1081312,875793324.0
2023-03-03,10:25:12.065,306924,804.25,805.0,804.25,804.75,10002,1091314,883841446.5
2023-03-03,10:26:26.485,309252,804.75,805.5,804.5,805.0,10024,1101338,891910479.5
2023-03-03,10:27:26.747,311710,805.0,805.25,803.75,804.0,10003,1111341,899955818.25
2023-03-03,10:27:48.608,314075,804.0,804.0,802.5,803.25,10002,1121343,907989061.0
2023-03-03,10:29:17.903,316422,803.25,803.5,802.75,803.5,10000,1131343,916020851.0
2023-03-03,10:29:55.086,318366,803.5,803.5,801.75,802.25,10004,1141347,924047389.75
2023-03-03,10:30:35.580,320666,802.25,802.5,801.25,801.5,10003,1151350,932068448.25
2023-03-03,10:31:29.339,322900,801.5,803.25,801.25,803.0,10020,1161370,940108418.25
2023-03-03,10:32:40.636,325542,803.0,803.5,802.5,803.0,10009,1171379,948145897.0
2023-03-03,10:34:28.185,328260,803.0,803.5,802.25,802.5,10002,1181381,956176510.75
2023-03-03,10:35:55.891,330888,802.5,803.5,802.25,802.5,10016,1191397,964218808.75
2023-03-03,10:37:22.137,333300,802.5,803.0,801.5,802.0,10012,1201409,972250525.25
2023-03-03,10:39:32.746,335968,802.0,803.0,801.75,802.75,10005,1211414,980279750.5
2023-03-03,10:41:21.702,338322,802.75,804.0,802.5,803.75,10003,1221417,988314824.5
2023-03-03,10:45:05.870,341063,803.75,803.75,802.25,802.25,10002,1231419,996346219.5
2023-03-03,10:46:29.603,343650,802.25,802.5,801.0,801.0,10001,1241420,1004364743.25
2023-03-03,10:47:36.689,346046,801.0,801.25,800.25,800.5,10000,1251420,1012372767.0
2023-03-03,10:49:11.749,348303,800.5,801.75,800.5,801.75,10003,1261423,1020387863.5
2023-03-03,10:51:12.579,350764,801.75,802.75,801.5,802.25,10000,1271423,1028411274.25
2023-03-03,10:55:01.842,353655,802.25,803.25,801.75,802.5,10000,1281423,1036435926.25
2023-03-03,10:58:02.253,356215,802.5,802.75,801.25,801.5,10034,1291457,1044482935.25
2023-03-03,11:00:38.880,358594,801.5,802.25,801.25,801.5,10001,1301458,1052500527.25
2023-03-03,11:03:16.403,361033,801.5,802.75,801.25,802.0,10001,1311459,1060521334.75
2023-03-03,11:06:25.358,363437,802.0,802.5,801.25,802.25,10007,1321466,1068545139.0
2023-03-03,11:09:50.053,366303,802.25,803.5,802.25,803.25,10003,1331469,1076576751.0
2023-03-03,11:13:15.832,368703,803.25,803.5,802.5,803.0,10001,1341470,1084608490.5
2023-03-03,11:17:08.074,371283,803.0,803.0,801.25,801.5,10020,1351490,1092644023.25
