date,time,cum_ticks,open,high,low,close,cum_dollar_value,cum_buy_volume,cum_volume
2023-09-01,01:32:08.940,15565,1651.21,1651.21,1649.65,1649.66,104016.20615300004,10942.968200000128,10942.968200000128
2023-09-01,01:34:04.807,15762,1649.66,1650.37,1649.66,1650.37,100122.90746700004,11003.649200000136,11003.649200000136
2023-09-01,01:34:49.746,15805,1650.37,1650.37,1650.15,1650.16,112467.60568400001,11071.804200000133,11071.804200000133
2023-09-01,01:36:13.142,15963,1650.16,1650.55,1650.15,1650.55,100301.47908700003,11132.582000000131,11132.582000000131
2023-09-01,01:37:07.721,16132,1650.55,1650.95,1650.38,1650.51,100210.12679099999,11193.291100000135,11193.291100000135
2023-09-01,01:37:46.351,16193,1650.55,1650.56,1650.18,1650.18,128781.98807200001,11271.326700000129,11271.326700000129
2023-09-01,01:38:50.299,16319,1650.18,1650.18,1649.86,1650.06,100359.20779499997,11332.152400000135,11332.152400000135
2023-09-01,01:39:39.957,16428,1650.06,1650.12,1649.89,1650.05,128567.050024,11410.07000000014,11410.07000000014
2023-09-01,01:41:24.413,16583,1650.05,1650.13,1650.05,1650.12,103155.47651999998,11472.58510000014,11472.58510000014
2023-09-01,01:43:04.366,16782,1650.12,1650.12,1649.65,1650.1,181884.01738600002,11582.81450000014,11582.81450000014
2023-09-01,01:45:00.062,16936,1650.11,1650.11,1650.1,1650.11,105869.41062500006,11646.973700000144,11646.973700000144
2023-09-01,01:45:00.063,16954,1650.11,1650.11,1650.11,1650.11,100292.36571199998,11707.752900000145,11707.752900000145
2023-09-01,01:45:00.069,16972,1650.11,1650.11,1650.11,1650.11,104420.61090999999,11771.033900000144,11771.033900000144
2023-09-01,01:45:00.101,17009,1650.11,1650.26,1650.11,1650.26,101385.68702799999,11832.473900000137,11832.473900000137
2023-09-01,01:45:47.410,17095,1650.27,1650.72,1650.27,1650.71,120148.98363,11905.26500000013,11905.26500000013
2023-09-01,01:46:20.394,17249,1650.71,1650.71,1650.1,1650.1,174863.98115099996,12011.227400000122,12011.227400000122
2023-09-01,01:46:20.396,17255,1650.1,1650.1,1650.1,1650.1,153710.61023,12104.379700000121,12104.379700000121
2023-09-01,01:47:13.870,17401,1650.1,1650.1,1649.6,1649.6,101595.941638,12165.963300000121,12165.963300000121
2023-09-01,01:49:21.827,17639,1649.58,1650.12,1649.22,1650.12,100045.366656,12226.613700000109,12226.613700000109
2023-09-01,01:50:01.375,17740,1650.11,1650.12,1649.79,1649.79,101135.88437900002,12287.908500000118,12287.908500000118
2023-09-01,01:51:24.387,17864,1649.79,1650.31,1649.79,1650.31,111437.52340000002,12355.435400000122,12355.435400000122
2023-09-01,01:51:56.781,17927,1650.31,1650.71,1650.31,1650.71,127942.89433099997,12432.954600000121,12432.954600000121
2023-09-01,01:52:25.560,17996,1650.71,1650.71,1650.59,1650.6,118032.85492299998,12504.46260000012,12504.46260000012
2023-09-01,01:53:20.908,18108,1650.6,1650.85,1650.6,1650.85,101086.06632199998,12565.699700000121,12565.699700000121
2023-09-01,01:55:15.136,18347,1650.85,1650.88,1650.43,1650.43,106920.92969499988,12630.474900000108,12630.474900000108
2023-09-01,01:56:44.551,18532,1650.42,1650.43,1649.68,1649.68,100121.05749899999,12691.153800000095,12691.153800000095
2023-09-01,01:58:50.748,18777,1649.68,1649.69,1649.28,1649.41,105987.321844,12755.410500000087,12755.410500000087
2023-09-01,02:00:01.288,18920,1649.41,1649.42,1649.33,1649.33,102292.96555900005,12817.430200000095,12817.430200000095
2023-09-01,02:01:32.707,19110,1649.33,1650.01,1649.28,1650.01,105442.86538800003,12881.35400000009,12881.35400000009
2023-09-01,02:03:21.416,19365,1650.01,1650.47,1650.01,1650.47,101241.606071,12942.70550000008,12942.70550000008
